Pitch,Number of Teeth,Pitch Dia,OD,Length,For Shaft Dia.,
32,12,0.375,0.44,12,0.03125,Steel
32,12,0.375,0.44,12,0.0625,Steel
32,12,0.375,0.44,12,0.09375,Steel
32,12,0.375,0.44,12,0.125,Steel
32,12,0.375,0.44,12,0.15625,Steel
32,12,0.375,0.44,12,0.1875,Steel
32,12,0.375,0.44,12,0.21875,Steel
24,12,0.5,0.58,12,0.03125,Steel
24,12,0.5,0.58,12,0.0625,Steel
24,12,0.5,0.58,12,0.09375,Steel
24,12,0.5,0.58,12,0.125,Steel
24,12,0.5,0.58,12,0.15625,Steel
24,12,0.5,0.58,12,0.21875,Steel
24,12,0.5,0.58,12,0.25,Steel
24,12,0.5,0.58,12,0.28125,Steel
24,16,0.667,0.75,12,0.03125,Steel
24,16,0.667,0.75,12,0.0625,Steel
24,16,0.667,0.75,12,0.09375,Steel
24,16,0.667,0.75,12,0.125,Steel
24,16,0.667,0.75,12,0.15625,Steel
24,16,0.667,0.75,12,0.1875,Steel
24,16,0.667,0.75,12,0.21875,Steel
24,16,0.667,0.75,12,0.28125,Steel
24,16,0.667,0.75,12,0.3125,Steel
24,20,0.833,0.92,12,0.03125,Steel
24,16,0.667,0.75,12,0.0625,Steel
24,16,0.667,0.75,12,0.09375,Steel
24,16,0.667,0.75,12,0.125,Steel
24,16,0.667,0.75,12,0.15625,Steel
24,16,0.667,0.75,12,0.1875,Steel
24,16,0.667,0.75,12,0.21875,Steel
24,16,0.667,0.75,12,0.28125,Steel
24,16,0.667,0.75,12,0.3125,Steel
24,24,1,1.08,12,0.375,Steel
20,12,0.6,0.7,12,0.3125,Steel
20,16,0.8,0.9,12,0.15625,Steel
20,20,1,1.1,12,0.5625,Steel
16,12,0.75,0.88,12,0.03125,Steel
16,16,1,1.13,12,0.15625,Steel
16,20,1.25,1.38,12,0.15625,Steel
16,24,1.5,1.63,12,0.15625,Steel
12,12,1,1.17,12,0.15625,Steel
12,16,1.333,1.5,12,0.15625,Steel
12,24,2,2.17,12,0.15625,Steel
