,,With Shoulder,Without Shoulder
Shank Length,,Length,Length
1,0.75,"2 1/2""","2 1/8"""
2,0.75,"3 3/8""","3 1/4"""
3,0.75,"4 3/8""","4 1/4"""
1,0.75,"2 3/8""","2 1/4"""
1.125,0.875,"2 7/8""","2 1/2"""
2,0.875,"3 5/8""","3 1/2"""
3,0.875,"4 5/8""","4 1/2"""
4,0.875,"5 5/8""","5 1/2"""
1.125,0.875,"2 3/4""","2 5/8"""
0.625,1,"2 3/4""",__
0.75,1,"2 7/8""",__
1.25,1,"3 3/8""","2 7/8"""
2.5,1,"4 1/2""","4 1/8"""
3,1,"5""","4 5/8"""
4,1,"6""","5 5/8"""
4.5,1,"6 1/2""","6 1/8"""
6,1,"8 1/8""","7 5/8"""
1.25,1,"3 1/4""",__
1.375,1.0625,"3 3/4""","3 1/8"""
2,1.0625,"4 1/8""","3 3/4"""
3,1.0625,"5 1/8""","4 3/4"""
4,1.0625,"6 1/8""","5 3/4"""
4.5,1.0625,"6 5/8""","6 1/4"""
1.375,1.0625,"3 3/4""","3 1/8"""
1.5,1.1875,"4 1/8""","3 1/2"""
2.5,1.1875,"4 7/8""","4 1/2"""
3,1.1875,"5 3/8""","5"""
4,1.1875,"6 3/8""","6"""
4.5,1.1875,"6 7/8""","6 1/2"""
6,1.1875,"8 5/8""","8"""
1.5,1.1875,"4""","3 1/2"""
2.5,1.1875,"4 7/8""","4 1/2"""
1.625,1.25,"4 1/2""","3 7/8"""
2,1.25,"4 1/2""","4 1/4"""
3,1.25,"5 1/2""","5 1/4"""
4,1.25,"6 1/2""","6 1/4"""
4.5,1.25,"7""","6 3/4"""
1.625,1.25,"4 1/2""","3 7/8"""
1.75,1.375,"4 7/8""","4 1/4"""
2.5,1.375,"5 3/8""","5"""
3,1.375,"5 7/8""","5 1/2"""
4,1.375,"6 7/8""","6 1/2"""
4.5,1.375,"7 3/8""","7"""
6,1.375,"9 1/8""","8 1/2"""
1.75,1.375,"4 7/8""","4 1/4"""
2,1.5,"5 1/2""","4 3/4"""
2.5,1.5,"5 5/8""","5 1/4"""
3,1.5,"6 1/8""","5 3/4"""
4,1.5,"7 1/8""","6 3/4"""
4.5,1.5,"7 5/8""","7 1/4"""
5,1.5,"8 1/8""","7 3/4"""
6,1.5,"9 1/2""","8 3/4"""
2,1.5,"5 1/4""","4 3/4"""
2.25,1.6875,"6 1/8""","5 1/2"""
3,1.6875,"7""","6 1/4"""
4,1.6875,"8""","7 1/4"""
4.5,1.6875,"8 1/2""","7 3/4"""
5,1.6875,"9""","8 1/4"""
2.25,1.6875,"6 1/8""","5 1/2"""
2.5,1.8125,"6 7/8""","6"""
3,1.8125,"7 1/4""","6 1/2"""
4,1.8125,"8 1/4""","7 1/2"""
4.5,1.8125,"8 3/4""","8"""
5,1.8125,"9 1/4""","8 1/2"""
2.5,1.8125,"6 7/8""","6"""
2.5,1.8125,"6 5/8""","6"""
2.75,2,"7 3/4""","6 3/4"""
3,2.1875,"8 3/8""","7 3/8"""
3,2.1875,"8 3/8""","7 3/8"""
3.5,2.5,"9 5/8""","8 5/8"""
3.75,2.875,"11 1/8""","9 3/4"""
4,3.25,"12 1/8""","10 7/8"""
5,4,"15 3/8""","13 1/2"""
