-1.000,0.750,1.521,2.500,0.25,0.125,0.25,1.468,0.400,0.375,0.761,,,,,
-2.000,0.750,1.521,3.375,0.25,0.125,0.25,1.715,0.800,0.375,0.761,,,,,
-3.000,0.750,1.521,4.375,0.25,0.125,0.25,2.640,1.200,0.375,0.761,,,,,
-1.000,0.750,1.521,2.375,0.25,0.125,0.25,0.790,0.400,0.375,0.761,,,,,
-1.125,0.875,1.775,2.875,0.3125,0.156,0.3125,1.018,0.450,0.438,0.887,,,,,
-2.000,0.875,1.775,3.625,0.3125,0.156,0.3125,1.711,0.800,0.438,0.887,,,,,
-3.000,0.875,1.775,4.625,0.3125,0.156,0.3125,2.636,1.200,0.438,0.887,,,,,
-4.000,0.875,1.775,5.625,0.3125,0.156,0.3125,3.561,1.600,0.438,0.887,,,,,
-1.125,0.875,1.775,2.750,0.3125,0.156,0.3125,0.902,0.450,0.438,0.887,,,,,
-0.625,1.000,2.028,2.750,0.375,0.188,0.375,0.667,0.250,0.500,1.014,,,,,
-0.750,1.000,2.028,2.875,0.375,0.188,0.375,0.783,0.300,0.500,1.014,,,,,1.6
-1.250,1.000,2.028,3.375,0.375,0.188,0.375,1.246,0.500,0.500,1.014,,,,,
-2.500,1.000,2.028,4.500,0.375,0.188,0.375,2.286,1.000,0.500,1.014,,,,,
-3.000,1.000,2.028,5.000,0.375,0.188,0.375,2.749,1.200,0.500,1.014,,,,,
-4.000,1.000,2.028,6.000,0.375,0.188,0.375,3.674,1.600,0.500,1.014,,,,,
-4.500,1.000,2.028,6.500,0.375,0.188,0.375,4.136,1.800,0.500,1.014,,,,,
-6.000,1.000,2.028,8.125,0.375,0.188,0.375,5.639,2.400,0.500,1.014,,,,,
-1.250,1.000,2.028,3.125,0.375,0.188,0.375,1.014,0.500,0.500,1.014,,,,,
-1.375,1.063,2.155,3.750,0.4375,0.219,0.4375,1.475,0.550,0.531,1.078,,,,,
-2.000,1.063,2.155,4.125,0.4375,0.219,0.4375,1.822,0.800,0.531,1.078,,,,,
-3.000,1.063,2.155,5.125,0.4375,0.219,0.4375,2.747,1.200,0.531,1.078,,,,,
-4.000,1.063,2.155,6.125,0.4375,0.219,0.4375,3.672,1.600,0.531,1.078,,,,,
-4.500,1.063,2.155,6.625,0.4375,0.219,0.4375,4.135,1.800,0.531,1.078,,,,,
-1.375,1.063,2.155,3.750,0.4375,0.219,0.4375,1.475,0.550,0.531,1.078,,,,,
-1.500,1.188,2.409,4.125,0.5,0.250,0.5,1.588,0.600,0.594,1.204,,,,,
-2.500,1.188,2.409,4.875,0.5,0.250,0.5,2.281,1.000,0.594,1.204,,,,,
-3.000,1.188,2.409,5.375,0.5,0.250,0.5,2.744,1.200,0.594,1.204,,,,,
-4.000,1.188,2.409,6.375,0.5,0.250,0.5,3.669,1.600,0.594,1.204,,,,,
-4.500,1.188,2.409,6.875,0.5,0.250,0.5,4.131,1.800,0.594,1.204,,,,,
-6.000,1.188,2.409,8.625,0.5,0.250,0.5,5.750,2.400,0.594,1.204,,,,,
-1.500,1.188,2.409,4.000,0.5,0.250,0.5,1.472,0.600,0.594,1.204,,,,,
-2.500,1.188,2.409,4.875,0.5,0.250,0.5,2.281,1.000,0.594,1.204,,,,,
-1.625,1.250,2.535,4.500,0.5625,0.281,0.5625,1.817,0.650,0.625,1.268,,,,,
-2.000,1.250,2.535,4.500,0.5625,0.281,0.5625,1.817,0.800,0.625,1.268,,,,,
-3.000,1.250,2.535,5.500,0.5625,0.281,0.5625,2.742,1.200,0.625,1.268,,,,,
-4.000,1.250,2.535,6.500,0.5625,0.281,0.5625,3.667,1.600,0.625,1.268,,,,,
-4.500,1.250,2.535,7.000,0.5625,0.281,0.5625,4.130,1.800,0.625,1.268,,,,,
-1.625,1.250,2.535,4.500,0.5625,0.281,0.5625,1.817,0.650,0.625,1.268,,,,,
-1.750,1.375,2.789,4.875,0.625,0.313,0.625,1.930,0.700,0.688,1.395,,,,,
-2.500,1.375,2.789,5.375,0.625,0.313,0.625,2.392,1.000,0.688,1.395,,,,,
-3.000,1.375,2.789,5.875,0.625,0.313,0.625,2.855,1.200,0.688,1.395,,,,,
-4.000,1.375,2.789,6.875,0.625,0.313,0.625,3.780,1.600,0.688,1.395,,,,,
-4.500,1.375,2.789,7.375,0.625,0.313,0.625,4.242,1.800,0.688,1.395,,,,,
-6.000,1.375,2.789,9.125,0.625,0.313,0.625,5.861,2.400,0.688,1.395,,,,,
-1.750,1.375,2.789,4.875,0.625,0.313,0.625,1.930,0.700,0.688,1.395,,,,,
-2.000,1.500,3.043,5.500,0.75,0.375,0.75,2.273,0.800,0.750,1.521,,,,,
-2.500,1.500,3.043,5.625,0.75,0.375,0.75,2.389,1.000,0.750,1.521,,,,,
-3.000,1.500,3.043,6.125,0.75,0.375,0.75,2.851,1.200,0.750,1.521,,,,,
-4.000,1.500,3.043,7.125,0.75,0.375,0.75,3.776,1.600,0.750,1.521,,,,,
-4.500,1.500,3.043,7.625,0.75,0.375,0.75,4.239,1.800,0.750,1.521,,,,,
-5.000,1.500,3.043,8.125,0.75,0.375,0.75,4.701,2.000,0.750,1.521,,,,,
-6.000,1.500,3.043,9.500,0.75,0.375,0.75,5.973,2.400,0.750,1.521,,,,,
-2.000,1.500,3.043,5.250,0.75,0.375,0.75,2.042,0.800,0.750,1.521,,,,,
-2.250,1.688,3.423,6.125,0.875,0.438,0.875,2.499,0.900,0.844,1.711,,,,,
-3.000,1.688,3.423,7.000,0.875,0.438,0.875,3.309,1.200,0.844,1.711,,,,0.8125,
-4.000,1.688,3.423,8.000,0.875,0.438,0.875,4.234,1.600,0.844,1.711,,,,,
-4.500,1.688,3.423,8.500,0.875,0.438,0.875,4.696,1.800,0.844,1.711,,,,,
-5.000,1.688,3.423,9.000,0.875,0.438,0.875,5.159,2.000,0.844,1.711,,,,,
-2.250,1.688,3.423,6.125,0.875,0.438,0.875,2.499,0.900,0.844,1.711,,,,,
-2.500,1.813,3.676,6.875,1,0.500,1,2.959,1.000,0.906,1.838,,,,,
-3.000,1.813,3.676,7.250,1,0.500,1,3.306,1.200,0.906,1.838,,,,,
-4.000,1.813,3.676,8.250,1,0.500,1,4.231,1.600,0.906,1.838,,,,,
-4.500,1.813,3.676,8.750,1,0.500,1,4.693,1.800,0.906,1.838,,,,,
-5.000,1.813,3.676,9.125,1,0.500,1,5.040,2.000,0.906,1.838,,,,,
-2.500,1.813,3.676,6.875,1,0.500,1,2.959,1.000,0.906,1.838,,,,,
-2.500,1.813,3.676,5.625,1,0.500,1,1.802,1.000,0.906,1.838,,,,,
-2.750,2.000,4.057,7.750,1.125,0.563,1.125,3.416,1.100,1.000,2.028,,,,,
-3.000,2.188,4.437,8.375,1.25,0.625,1.25,3.643,1.200,1.094,2.219,,,,,
-3.000,2.188,4.437,8.375,1.25,0.625,1.25,3.643,1.200,1.094,2.219,,,,,
-3.500,2.500,5.071,9.625,1.5,0.750,1.5,4.212,1.400,1.250,2.535,,,,,
-3.750,2.875,5.832,11.125,1.75,0.875,1.75,4.896,1.500,1.438,2.916,,,,,
-4.000,3.250,6.592,12.125,2.5,1.250,2.5,5.118,1.600,1.625,3.296,,,,,
-5.000,4.000,8.114,15.375,2.5,1.250,2.5,6.717,2.000,2.000,4.057,,,,,
