Pitch,Number of Teeth,Pressure Angle,Pitch Dia,OD,Face Width,Overall Wd.,For Shaft Dia,Mounting Distance,Material,Hub Dia,Hub Width,Keyway Wd,Keyway Dp
16,16,20,1,1.09,0.22,0.75,0.375,1.063,Steel,0.75,0.438,0.094,0.047
16,24,20,1.5,1.59,0.31,0.875,0.5,1.375,Steel,1,0.5,0.125,0.063
12,15,20,1.25,1.37,0.27,0.859,0.5,1.25,Steel,1,0.5,0.125,0.063
12,18,20,1.5,1.62,0.32,1.016,0.625,1.5,Steel,1.25,0.625,0.188,0.094
12,21,20,1.75,1.87,0.39,1.188,0.625,1.75,Steel,1.375,0.688,0.188,0.094
12,30,20,2.5,2.62,0.54,1.484,0.625,2.313,Steel,1.75,0.844,0.188,0.094
10,20,20,2,2.14,0.44,1.359,0.5,2,Steel,1.625,0.813,0.125,0.063
10,20,20,2,2.14,0.44,1.359,0.625,2,Steel,1.625,0.813,0.188,0.094
10,20,20,2,2.14,0.44,1.359,0.75,2,Steel,1.625,0.813,0.188,0.094
10,25,20,2.5,2.64,0.55,1.625,0.75,2.438,Steel,2,0.938,0.188,0.094
10,25,20,2.5,2.64,0.55,1.625,1,2.438,Steel,2,0.938,0.25,0.125
8,24,20,3,3.18,0.64,1.766,1,2.75,Steel,2.5,1,0.25,0.125
8,28,20,3.5,3.68,0.75,2.094,1,3.25,Steel,2.5,1.25,0.25,0.125
6,24,20,3,4.24,0.64,2.313,0.75,2.563,Steel,1.75,0.813,0.375,0.188
